uei,start_date,end_date,duration_days,latitude,longitude,state,district,severity,area_affected_sqkm,main_cause,description,event_source
FLOOD-IND-0001,2024-05-02,2024-05-28,26,20.548042,73.708596,Gujarat,,Moderate,154.13,Urban Flooding,Flood situation in Gujarat affecting multiple areas,Sentinel-2 Optical
FLOOD-IND-0002,2023-11-04,2023-11-22,18,27.927516,94.490155,Assam,,Moderate,104.89,Urban Flooding,Severe flooding reported in Assam region,MODIS
FLOOD-IND-0003,2021-12-27,2022-01-18,22,28.229626,82.452978,Uttar Pradesh,,Moderate,184.87,River Overflow,Emergency declared in Uttar Pradesh due to flooding,News Reports
FLOOD-IND-0004,2024-07-20,2024-08-01,12,27.289813,94.619736,Assam,,Moderate,116.02,Cyclone,Flood event in Assam caused by cyclone,Landsat-8
FLOOD-IND-0005,2021-02-13,2021-03-15,30,24.685626,84.281244,Jharkhand,,Moderate,59.76,Dam Release,Water logging and flooding in Jharkhand due to dam release,News Reports
FLOOD-IND-0006,2021-04-14,2021-04-25,11,29.994237,79.845232,Uttarakhand,,Severe,886.29,Urban Flooding,Flood event in Uttarakhand caused by urban flooding,MODIS
FLOOD-IND-0007,2023-10-21,2023-11-07,17,17.40106,74.34065,Karnataka,,High,203.47,Coastal Storm Surge,Water logging and flooding in Karnataka due to coastal storm surge,Sentinel-2 Optical
FLOOD-IND-0008,2021-05-27,2021-06-06,10,24.361238,95.688309,Assam,,Moderate,172.22,Heavy Monsoon Rainfall,Emergency declared in Assam due to flooding,Sentinel-1 SAR
FLOOD-IND-0009,2020-10-13,2020-11-07,25,30.307951,82.160087,Uttar Pradesh,,Severe,769.12,Prolonged Rainfall,Flood situation in Uttar Pradesh affecting multiple areas,Ground Reports
FLOOD-IND-0010,2020-01-19,2020-01-29,10,33.060374,78.403387,Himachal Pradesh,,High,388.19,River Overflow,Water logging and flooding in Himachal Pradesh due to river overflow,Landsat-8
FLOOD-IND-0011,2020-12-30,2020-12-31,1,29.549838,69.943527,Rajasthan,,Catastrophic,4287.76,Cloud Burst,Water logging and flooding in Rajasthan due to cloud burst,Landsat-8
FLOOD-IND-0012,2020-01-31,2020-02-18,18,25.452785,87.223286,Bihar,,High,393.43,Cloud Burst,Emergency declared in Bihar due to flooding,Sentinel-1 SAR
FLOOD-IND-0013,2022-11-25,2022-12-22,27,24.701154,85.298167,Bihar,,Moderate,67.89,Coastal Storm Surge,Water logging and flooding in Bihar due to coastal storm surge,Landsat-8
FLOOD-IND-0014,2021-09-06,2021-09-07,1,30.588303,80.325991,Uttarakhand,,Severe,1153.03,Coastal Storm Surge,Water logging and flooding in Uttarakhand due to coastal storm surge,Sentinel-1 SAR
FLOOD-IND-0015,2021-01-08,2021-02-03,26,26.670079,81.523289,Madhya Pradesh,,Low,34.39,Dam Release,Severe flooding reported in Madhya Pradesh region,Ground Reports
FLOOD-IND-0016,2022-02-16,2022-03-18,30,25.859378,80.794438,Uttar Pradesh,,High,230.12,Flash Flood,Emergency declared in Uttar Pradesh due to flooding,Sentinel-1 SAR
FLOOD-IND-0017,2022-02-07,2022-02-13,6,25.068021,82.543274,Madhya Pradesh,,High,356.08,Heavy Monsoon Rainfall,Emergency declared in Madhya Pradesh due to flooding,Sentinel-2 Optical
FLOOD-IND-0018,2021-11-28,2021-12-13,15,22.034197,83.33412,Chhattisgarh,,Low,33.87,Prolonged Rainfall,Severe flooding reported in Chhattisgarh region,Sentinel-1 SAR
FLOOD-IND-0019,2021-10-23,2021-11-07,15,27.546796,82.762018,Uttar Pradesh,,Severe,821.84,Urban Flooding,Severe flooding reported in Uttar Pradesh region,Sentinel-1 SAR
FLOOD-IND-0020,2021-05-30,2021-06-06,7,30.185081,74.052497,Punjab,,High,390.69,River Overflow,Flood event in Punjab caused by river overflow,Ground Reports
FLOOD-IND-0021,2023-06-18,2023-07-13,25,17.674981,77.67027,Karnataka,,Moderate,69.45,Dam Release,Severe flooding reported in Karnataka region,Sentinel-1 SAR
FLOOD-IND-0022,2020-01-21,2020-01-28,7,14.710843,82.939058,Andhra Pradesh,,Low,30.62,Urban Flooding,Severe flooding reported in Andhra Pradesh region,Ground Reports
FLOOD-IND-0023,2021-11-21,2021-12-14,23,29.455811,76.551894,Haryana,,Moderate,78.72,River Overflow,Emergency declared in Haryana due to flooding,News Reports
FLOOD-IND-0024,2020-10-05,2020-10-26,21,13.400088,77.1212,Karnataka,,Moderate,57.6,Heavy Monsoon Rainfall,Water logging and flooding in Karnataka due to heavy monsoon rainfall,MODIS
FLOOD-IND-0025,2020-08-15,2020-09-11,27,32.018799,76.081962,Himachal Pradesh,,High,226.09,River Overflow,Water logging and flooding in Himachal Pradesh due to river overflow,News Reports
FLOOD-IND-0026,2024-07-20,2024-08-05,16,31.074885,78.035078,Himachal Pradesh,,Severe,764.54,Dam Release,Severe flooding reported in Himachal Pradesh region,Ground Reports
FLOOD-IND-0027,2024-05-10,2024-06-05,26,23.408479,85.951209,West Bengal,,Low,27.24,River Overflow,Severe flooding reported in West Bengal region,Sentinel-2 Optical
FLOOD-IND-0028,2022-03-08,2022-04-04,27,9.101013,75.797871,Kerala,,High,373.11,River Overflow,Severe flooding reported in Kerala region,Sentinel-1 SAR
FLOOD-IND-0029,2024-06-26,2024-07-17,21,24.156864,94.739937,Assam,,High,457.66,Glacial Lake Outburst,Flood event in Assam caused by glacial lake outburst,News Reports
FLOOD-IND-0030,2024-10-26,2024-11-21,26,22.029475,82.58249,Madhya Pradesh,,Low,10.85,Heavy Monsoon Rainfall,Water logging and flooding in Madhya Pradesh due to heavy monsoon rainfall,News Reports
FLOOD-IND-0031,2021-06-19,2021-07-16,27,11.209079,76.118317,Kerala,,Low,8.88,Dam Release,Flood event in Kerala caused by dam release,News Reports
FLOOD-IND-0032,2021-02-18,2021-02-20,2,8.460696,79.875659,Tamil Nadu,,Moderate,184.13,Cyclone,Severe flooding reported in Tamil Nadu region,Landsat-8
FLOOD-IND-0033,2020-05-11,2020-06-09,29,29.037127,84.258594,Uttar Pradesh,,Moderate,81.41,Dam Release,Emergency declared in Uttar Pradesh due to flooding,MODIS
FLOOD-IND-0034,2020-10-31,2020-11-10,10,16.182504,80.766815,Maharashtra,,High,255.52,Heavy Monsoon Rainfall,Flood event in Maharashtra caused by heavy monsoon rainfall,Landsat-8
FLOOD-IND-0035,2023-08-02,2023-08-25,23,28.407071,74.730149,Haryana,,High,274.98,Heavy Monsoon Rainfall,Emergency declared in Haryana due to flooding,Ground Reports
FLOOD-IND-0036,2021-02-10,2021-03-01,19,11.470522,76.601807,Kerala,,Moderate,63.65,Coastal Storm Surge,Water logging and flooding in Kerala due to coastal storm surge,News Reports
FLOOD-IND-0037,2023-08-27,2023-09-23,27,20.224906,85.098697,Odisha,,Catastrophic,2323.22,Cyclone,Severe flooding reported in Odisha region,Sentinel-2 Optical
FLOOD-IND-0038,2023-06-27,2023-07-06,9,25.219024,95.983688,Assam,,High,234.01,River Overflow,Emergency declared in Assam due to flooding,Landsat-8
FLOOD-IND-0039,2023-10-07,2023-10-26,19,16.931163,77.665644,Karnataka,,Low,24.54,Flash Flood,Emergency declared in Karnataka due to flooding,Sentinel-1 SAR
FLOOD-IND-0040,2022-10-12,2022-11-06,25,30.519626,77.677656,Himachal Pradesh,,Severe,561.02,Heavy Monsoon Rainfall,Flood event in Himachal Pradesh caused by heavy monsoon rainfall,News Reports
FLOOD-IND-0041,2021-03-27,2021-04-21,25,21.502392,86.219064,West Bengal,,Moderate,61.6,Heavy Monsoon Rainfall,Flood situation in West Bengal affecting multiple areas,Sentinel-2 Optical
FLOOD-IND-0042,2021-10-05,2021-10-11,6,26.580609,88.31042,West Bengal,,Low,13.76,Coastal Storm Surge,Water logging and flooding in West Bengal due to coastal storm surge,News Reports
FLOOD-IND-0043,2023-12-13,2023-12-23,10,25.011629,82.109048,Madhya Pradesh,,Moderate,135.22,Urban Flooding,Emergency declared in Madhya Pradesh due to flooding,Sentinel-1 SAR
FLOOD-IND-0044,2023-04-08,2023-04-15,7,16.394529,75.940527,Maharashtra,,Moderate,75.37,Prolonged Rainfall,Flood event in Maharashtra caused by prolonged rainfall,Sentinel-2 Optical
FLOOD-IND-0045,2020-03-28,2020-04-14,17,23.461882,88.776246,West Bengal,,Low,11.66,Cloud Burst,Flood situation in West Bengal affecting multiple areas,Sentinel-2 Optical
FLOOD-IND-0046,2021-03-03,2021-03-12,9,11.813395,75.007387,Karnataka,,High,240.15,Glacial Lake Outburst,Water logging and flooding in Karnataka due to glacial lake outburst,MODIS
FLOOD-IND-0047,2023-08-20,2023-09-04,15,14.010842,78.279656,Andhra Pradesh,,Moderate,155.74,Dam Release,Water logging and flooding in Andhra Pradesh due to dam release,Landsat-8
FLOOD-IND-0048,2021-04-18,2021-05-01,13,29.957877,79.755622,Uttarakhand,,High,481.34,Cyclone,Emergency declared in Uttarakhand due to flooding,Landsat-8
FLOOD-IND-0049,2020-11-24,2020-11-27,3,21.63618,81.534652,Odisha,,High,222.49,Heavy Monsoon Rainfall,Water logging and flooding in Odisha due to heavy monsoon rainfall,Landsat-8
FLOOD-IND-0050,2021-11-29,2021-12-16,17,20.78874,73.477171,Gujarat,,Low,4.43,Urban Flooding,Flood event in Gujarat caused by urban flooding,Ground Reports
FLOOD-IND-0051,2023-06-28,2023-07-26,28,26.424251,87.091761,West Bengal,,Low,40.26,Flash Flood,Water logging and flooding in West Bengal due to flash flood,Sentinel-2 Optical
FLOOD-IND-0052,2022-06-09,2022-06-11,2,23.03552,72.96015,Gujarat,,Moderate,140.0,River Overflow,Flood event in Gujarat caused by river overflow,Landsat-8
FLOOD-IND-0053,2023-04-14,2023-05-05,21,9.598063,78.436988,Tamil Nadu,,Moderate,55.3,Heavy Monsoon Rainfall,Flood event in Tamil Nadu caused by heavy monsoon rainfall,News Reports
FLOOD-IND-0054,2022-06-24,2022-07-01,7,21.607041,69.211283,Gujarat,,Moderate,139.23,River Overflow,Flood situation in Gujarat affecting multiple areas,Sentinel-1 SAR
FLOOD-IND-0055,2024-10-19,2024-11-06,18,31.853191,74.832477,Punjab,,Severe,1325.64,Dam Release,Flood event in Punjab caused by dam release,Landsat-8
FLOOD-IND-0056,2023-09-29,2023-10-23,24,14.617997,77.453196,Karnataka,,High,499.57,River Overflow,Severe flooding reported in Karnataka region,Sentinel-2 Optical
FLOOD-IND-0057,2023-05-26,2023-06-17,22,24.504561,68.967283,Gujarat,,Low,34.4,Coastal Storm Surge,Water logging and flooding in Gujarat due to coastal storm surge,Sentinel-1 SAR
FLOOD-IND-0058,2020-08-07,2020-09-03,27,16.498239,79.824835,Andhra Pradesh,,Low,44.7,River Overflow,Severe flooding reported in Andhra Pradesh region,Sentinel-2 Optical
FLOOD-IND-0059,2021-12-16,2022-01-02,17,16.860275,77.442402,Andhra Pradesh,,Moderate,57.85,Coastal Storm Surge,Water logging and flooding in Andhra Pradesh due to coastal storm surge,News Reports
FLOOD-IND-0060,2021-04-17,2021-05-15,28,26.076747,89.795086,West Bengal,,Severe,1158.64,Cloud Burst,Flood event in West Bengal caused by cloud burst,Landsat-8
FLOOD-IND-0061,2023-01-28,2023-02-20,23,25.24379,79.292715,Madhya Pradesh,,Moderate,50.55,Urban Flooding,Severe flooding reported in Madhya Pradesh region,MODIS
FLOOD-IND-0062,2021-11-23,2021-12-01,8,13.447481,74.277458,Karnataka,,High,330.79,Cyclone,Emergency declared in Karnataka due to flooding,Sentinel-2 Optical
FLOOD-IND-0063,2022-05-21,2022-05-31,10,23.780605,81.819049,Madhya Pradesh,,High,249.0,Heavy Monsoon Rainfall,Emergency declared in Madhya Pradesh due to flooding,Sentinel-1 SAR
FLOOD-IND-0064,2024-07-29,2024-07-30,1,26.183633,84.218166,Bihar,,Moderate,80.33,Heavy Monsoon Rainfall,Severe flooding reported in Bihar region,Landsat-8
FLOOD-IND-0065,2020-03-18,2020-03-25,7,14.118721,77.782044,Karnataka,,High,414.18,Cyclone,Water logging and flooding in Karnataka due to cyclone,Ground Reports
FLOOD-IND-0066,2024-02-06,2024-03-03,26,24.395297,74.979795,Rajasthan,,High,222.22,Dam Release,Flood event in Rajasthan caused by dam release,News Reports
FLOOD-IND-0067,2024-09-13,2024-09-24,11,26.699329,89.653901,West Bengal,,High,259.59,Heavy Monsoon Rainfall,Emergency declared in West Bengal due to flooding,Sentinel-2 Optical
FLOOD-IND-0068,2024-07-28,2024-08-10,13,19.82418,74.214912,Maharashtra,,Severe,538.45,Flash Flood,Flood situation in Maharashtra affecting multiple areas,News Reports
FLOOD-IND-0069,2022-02-23,2022-02-26,3,29.420958,80.190427,Uttarakhand,,Low,2.41,Urban Flooding,Water logging and flooding in Uttarakhand due to urban flooding,Sentinel-2 Optical
FLOOD-IND-0070,2020-09-03,2020-09-11,8,23.609979,86.668395,West Bengal,,Moderate,73.83,Coastal Storm Surge,Flood situation in West Bengal affecting multiple areas,Sentinel-1 SAR
FLOOD-IND-0071,2021-02-04,2021-02-23,19,16.4983,77.077138,Karnataka,,Severe,683.84,Dam Release,Severe flooding reported in Karnataka region,News Reports
FLOOD-IND-0072,2022-11-16,2022-11-25,9,30.895049,76.4831,Himachal Pradesh,,Moderate,137.69,Heavy Monsoon Rainfall,Emergency declared in Himachal Pradesh due to flooding,MODIS
FLOOD-IND-0073,2020-01-03,2020-01-29,26,25.570055,75.638103,Madhya Pradesh,,Low,5.29,Heavy Monsoon Rainfall,Emergency declared in Madhya Pradesh due to flooding,News Reports
FLOOD-IND-0074,2021-06-19,2021-07-16,27,22.484339,69.880852,Gujarat,,Low,10.71,Glacial Lake Outburst,Emergency declared in Gujarat due to flooding,Ground Reports
FLOOD-IND-0075,2020-05-13,2020-06-03,21,23.542053,74.16016,Madhya Pradesh,,Severe,1310.47,Flash Flood,Flood event in Madhya Pradesh caused by flash flood,Ground Reports
FLOOD-IND-0076,2023-11-04,2023-11-11,7,25.644542,77.527909,Uttar Pradesh,,Moderate,188.63,River Overflow,Flood situation in Uttar Pradesh affecting multiple areas,Ground Reports
FLOOD-IND-0077,2021-09-07,2021-10-07,30,22.777465,87.735499,West Bengal,,Moderate,51.98,Urban Flooding,Flood event in West Bengal caused by urban flooding,Ground Reports
FLOOD-IND-0078,2024-05-20,2024-06-05,16,26.058255,87.300501,West Bengal,,High,291.09,Urban Flooding,Flood situation in West Bengal affecting multiple areas,Sentinel-2 Optical
FLOOD-IND-0079,2022-11-11,2022-11-16,5,23.574045,82.226058,Chhattisgarh,,Severe,705.21,Prolonged Rainfall,Flood event in Chhattisgarh caused by prolonged rainfall,News Reports
FLOOD-IND-0080,2022-01-11,2022-01-17,6,19.943078,84.031181,Chhattisgarh,,Moderate,141.56,Dam Release,Water logging and flooding in Chhattisgarh due to dam release,Sentinel-1 SAR
FLOOD-IND-0081,2021-12-13,2022-01-05,23,24.612684,80.655725,Madhya Pradesh,,High,458.19,Coastal Storm Surge,Emergency declared in Madhya Pradesh due to flooding,Sentinel-1 SAR
FLOOD-IND-0082,2022-02-12,2022-02-22,10,25.307283,92.120605,Assam,,Severe,1024.44,Cyclone,Flood event in Assam caused by cyclone,Sentinel-2 Optical
FLOOD-IND-0083,2023-03-31,2023-04-30,30,31.134165,79.86122,Uttarakhand,,Low,7.97,Urban Flooding,Emergency declared in Uttarakhand due to flooding,Sentinel-1 SAR
FLOOD-IND-0084,2024-05-30,2024-06-13,14,15.494356,79.580064,Andhra Pradesh,,Severe,1221.28,Flash Flood,Emergency declared in Andhra Pradesh due to flooding,News Reports
FLOOD-IND-0085,2024-09-04,2024-09-05,1,29.142193,79.440562,Uttarakhand,,Severe,940.91,Flash Flood,Severe flooding reported in Uttarakhand region,Sentinel-1 SAR
FLOOD-IND-0086,2024-11-05,2024-11-21,16,20.764326,73.030812,Gujarat,,Severe,1448.5,River Overflow,Flood situation in Gujarat affecting multiple areas,Sentinel-1 SAR
FLOOD-IND-0087,2024-05-09,2024-05-19,10,24.876865,77.596201,Uttar Pradesh,,High,337.86,Heavy Monsoon Rainfall,Severe flooding reported in Uttar Pradesh region,News Reports
FLOOD-IND-0088,2020-11-10,2020-12-06,26,25.136182,88.2092,Bihar,,Severe,590.16,River Overflow,Severe flooding reported in Bihar region,Landsat-8
FLOOD-IND-0089,2021-03-10,2021-04-07,28,25.231212,87.467596,Jharkhand,,High,489.88,Flash Flood,Water logging and flooding in Jharkhand due to flash flood,Sentinel-1 SAR
FLOOD-IND-0090,2022-12-23,2023-01-07,15,20.352508,73.552801,Maharashtra,,Moderate,149.32,Heavy Monsoon Rainfall,Emergency declared in Maharashtra due to flooding,Sentinel-2 Optical
FLOOD-IND-0091,2020-08-02,2020-08-27,25,21.991857,71.670595,Gujarat,,Moderate,151.74,Cyclone,Severe flooding reported in Gujarat region,MODIS
FLOOD-IND-0092,2024-12-15,2024-12-30,15,18.752645,80.372106,Chhattisgarh,,High,254.67,Prolonged Rainfall,Flood situation in Chhattisgarh affecting multiple areas,Sentinel-2 Optical
FLOOD-IND-0093,2023-05-25,2023-06-24,30,13.299292,78.54863,Andhra Pradesh,,Moderate,82.56,Urban Flooding,Flood event in Andhra Pradesh caused by urban flooding,Sentinel-1 SAR
FLOOD-IND-0094,2024-03-31,2024-04-16,16,11.28408,80.058077,Tamil Nadu,,High,332.37,Heavy Monsoon Rainfall,Water logging and flooding in Tamil Nadu due to heavy monsoon rainfall,Sentinel-2 Optical
FLOOD-IND-0095,2021-01-17,2021-01-20,3,29.420151,70.871782,Rajasthan,,High,463.71,River Overflow,Flood event in Rajasthan caused by river overflow,Sentinel-2 Optical
FLOOD-IND-0096,2020-06-27,2020-07-27,30,25.960997,79.447098,Uttar Pradesh,,Severe,681.48,Urban Flooding,Flood event in Uttar Pradesh caused by urban flooding,MODIS
FLOOD-IND-0097,2024-04-10,2024-05-07,27,11.510053,76.99185,Tamil Nadu,,Moderate,96.0,Cyclone,Water logging and flooding in Tamil Nadu due to cyclone,Sentinel-2 Optical
FLOOD-IND-0098,2020-12-06,2020-12-19,13,19.105111,83.766836,Odisha,,Moderate,115.85,Flash Flood,Flood event in Odisha caused by flash flood,Sentinel-1 SAR
FLOOD-IND-0099,2023-05-13,2023-06-04,22,24.015532,87.04366,West Bengal,,High,367.5,Coastal Storm Surge,Water logging and flooding in West Bengal due to coastal storm surge,Ground Reports
FLOOD-IND-0100,2023-02-04,2023-02-28,24,17.930504,74.397001,Maharashtra,,Moderate,181.24,Coastal Storm Surge,Severe flooding reported in Maharashtra region,Landsat-8
FLOOD-IND-0101,2023-07-24,2023-07-25,1,18.80412,81.894898,Odisha,,High,394.72,Dam Release,Severe flooding reported in Odisha region,News Reports
FLOOD-IND-0102,2020-02-04,2020-02-23,19,16.664549,80.83049,Maharashtra,,Moderate,181.23,Dam Release,Severe flooding reported in Maharashtra region,Landsat-8
FLOOD-IND-0103,2021-04-19,2021-05-04,15,15.154334,75.397976,Karnataka,,High,354.98,Cloud Burst,Water logging and flooding in Karnataka due to cloud burst,News Reports
FLOOD-IND-0104,2020-01-21,2020-02-19,29,25.862892,87.081254,West Bengal,,Moderate,93.73,Heavy Monsoon Rainfall,Flood situation in West Bengal affecting multiple areas,MODIS
FLOOD-IND-0105,2023-05-08,2023-05-11,3,19.953194,86.411717,Odisha,,Moderate,140.24,Heavy Monsoon Rainfall,Flood situation in Odisha affecting multiple areas,Sentinel-2 Optical
FLOOD-IND-0106,2023-04-10,2023-04-27,17,14.261751,74.010702,Karnataka,,High,288.6,Dam Release,Emergency declared in Karnataka due to flooding,Landsat-8
FLOOD-IND-0107,2020-11-12,2020-11-16,4,29.429776,80.552661,Uttar Pradesh,,Severe,707.45,Heavy Monsoon Rainfall,Flood event in Uttar Pradesh caused by heavy monsoon rainfall,Landsat-8
FLOOD-IND-0108,2020-02-29,2020-03-10,10,26.45992,95.34114,Assam,,Moderate,55.95,Urban Flooding,Flood event in Assam caused by urban flooding,Sentinel-1 SAR
FLOOD-IND-0109,2024-06-28,2024-07-27,29,31.038824,75.713098,Punjab,,Moderate,188.94,Heavy Monsoon Rainfall,Severe flooding reported in Punjab region,Sentinel-1 SAR
FLOOD-IND-0110,2020-01-16,2020-02-14,29,21.509518,83.015882,Odisha,,Moderate,106.72,Cyclone,Flood situation in Odisha affecting multiple areas,Sentinel-1 SAR
FLOOD-IND-0111,2022-02-10,2022-03-09,27,17.257014,77.021762,Karnataka,,High,204.73,River Overflow,Emergency declared in Karnataka due to flooding,Sentinel-2 Optical
FLOOD-IND-0112,2020-11-08,2020-11-19,11,24.516526,86.911634,Jharkhand,,High,458.69,Cloud Burst,Flood event in Jharkhand caused by cloud burst,Sentinel-1 SAR
FLOOD-IND-0113,2022-02-11,2022-03-02,19,28.841264,80.459591,Uttarakhand,,High,392.05,Heavy Monsoon Rainfall,Water logging and flooding in Uttarakhand due to heavy monsoon rainfall,News Reports
FLOOD-IND-0114,2021-07-05,2021-07-08,3,27.451879,94.684937,Assam,,Moderate,64.26,Cyclone,Flood event in Assam caused by cyclone,Sentinel-1 SAR
FLOOD-IND-0115,2021-01-22,2021-02-11,20,25.213026,79.272063,Uttar Pradesh,,Moderate,115.2,Urban Flooding,Water logging and flooding in Uttar Pradesh due to urban flooding,Sentinel-1 SAR
FLOOD-IND-0116,2024-05-18,2024-05-26,8,30.181147,76.893289,Haryana,,High,380.07,Coastal Storm Surge,Water logging and flooding in Haryana due to coastal storm surge,Sentinel-1 SAR
FLOOD-IND-0117,2023-01-11,2023-01-29,18,10.80776,75.261697,Kerala,,Moderate,82.47,Dam Release,Severe flooding reported in Kerala region,Landsat-8
FLOOD-IND-0118,2023-09-02,2023-09-15,13,23.977643,83.701221,Chhattisgarh,,High,427.85,Flash Flood,Flood situation in Chhattisgarh affecting multiple areas,News Reports
FLOOD-IND-0119,2024-03-17,2024-03-30,13,26.739604,79.635915,Uttar Pradesh,,High,497.26,River Overflow,Severe flooding reported in Uttar Pradesh region,MODIS
FLOOD-IND-0120,2022-09-08,2022-10-03,25,10.642127,75.76314,Kerala,,Moderate,152.24,River Overflow,Flood situation in Kerala affecting multiple areas,Landsat-8
FLOOD-IND-0121,2023-02-22,2023-03-02,8,13.396605,77.904705,Karnataka,,High,222.81,Heavy Monsoon Rainfall,Water logging and flooding in Karnataka due to heavy monsoon rainfall,Ground Reports
FLOOD-IND-0122,2021-09-03,2021-09-16,13,29.645433,74.249106,Rajasthan,,Low,25.95,Cloud Burst,Flood situation in Rajasthan affecting multiple areas,Sentinel-1 SAR
FLOOD-IND-0123,2021-11-06,2021-11-26,20,25.435993,84.239901,Bihar,,High,336.73,Urban Flooding,Flood situation in Bihar affecting multiple areas,Landsat-8
FLOOD-IND-0124,2022-03-31,2022-04-28,28,30.557376,79.375199,Uttarakhand,,High,217.68,Urban Flooding,Emergency declared in Uttarakhand due to flooding,MODIS
